	etytr	indicator	alp	er-cv	leukocyty	hbver	alt	trombocyty	ast	weight	ssn	relationship	hematokrit	smoker	hemoglobin	erytrocyty	name
0	6.56611	0.00000	71.34866	49.93293	4.01096	7.63611	16.53642	4.12686	62.82161	38.94182	613-31-7943	married	6.15761	no	7.24929	7.40249	Terry Walker
1	6.57510	0.00000	73.19819	50.61146	7.36386	4.45735	12.41316	6.89853	64.10856	39.93677	071-29-7068	widowed	5.02794	no	7.41189	7.05999	Christopher Mccall
2	7.46203	1.00000	12.80221	45.76702	7.86319	6.46036	7.75601	6.02906	62.88964	36.82128	465-01-6369	married	4.67262	Y	9.91113	5.59064	Mrs. Alisha Jackson DVM
3	5.15667	1.00000	86.69531	41.73339	4.49672	3.99015	3.84333	6.71704	72.09725	64.70210	698-87-9617	single	6.40977	Y	6.55248	5.71480	Crystal Dean
4	4.25219	1.00000	11.50857	43.33880	3.68340	8.19481	6.28617	6.51026	66.57561	-3.98413	209-04-2399	separated	5.65006	no	3.15066	5.61537	Joseph Garza
5	6.58272	1.00000	29.28991	56.11137	4.82038	8.01151	6.17958	5.88435	72.38079	33.35858	575-82-0142	widowed	4.44394	no	4.26543	3.29458	Tyrone Cook
6	7.30023	0.00000	11.38540	12.46761	3.88115	8.92254	7.24211	3.59986	68.67150	105.50483	035-38-9542	divoced	4.31650	no	9.45710	4.56622	Stephanie Shannon
7	5.07779	1.00000	10.54181	38.45767	3.55622	7.48482	7.52265	7.64511	74.19439	26.24641	023-11-8847	divoced	6.74457	no	3.16694	4.40417	Jacob Greene
8	5.49397	1.00000	18.75318	73.16755	3.86610	5.91512	8.31903	9.43127	83.53890	113.85574	591-86-1760	single	4.12111	yes	3.84871	5.60405	Traci Fernandez
9	3.71444	1.00000	92.76949	56.20062	6.28885	4.92173	8.74583	7.45973	72.64145	76.34527	004-28-3072	divoced	5.60958	yes	5.91275	5.13749	Mr. Joseph Cummings
10	6.98565	1.00000	17.12105	48.60304	2.93870	7.78371	8.13201	6.87279	67.11059	149.27137	188-24-3026	divoced	5.54959	Y	3.49963	5.73093	Thomas Martin
11	5.86255	0.00000	62.51962	79.94708	4.44854	7.33795	7.23011	4.56570	72.35958	51.35838	473-95-4591	widowed	5.62093	no	7.64265	5.90964	Emily Payne
12	7.45985	0.00000	44.89612	71.06880	2.82551	4.25394	8.92940	8.18667	69.71307	-7.45880	057-52-4512	divoced	5.21050	yes	8.09933	6.40121	Donna Acosta
13	6.76904	1.00000	82.43444	55.05481	7.32573	4.34537	13.21338	7.54311	67.13869	124.37640	359-08-9603	divoced	6.41748	no	5.80067	7.11096	Dr. Jordan Bradford
14	4.89861	1.00000	81.39359	37.21254	8.24034	3.88228	11.11524	7.86313	58.56651	79.67004	149-78-5801	nop	4.06044	no	5.50393	6.40483	Justin King
15	4.52487	1.00000	94.26772	33.52146	6.75694	3.71782	10.52320	7.23782	72.89025	8.96576	314-15-7857	separated	6.17462	yes	6.23802	6.67652	Cassandra Martinez
16	5.72602	1.00000	65.76478	44.67286	4.03766	7.24666	6.58919	6.38373	81.86960	61.64162	809-13-6960	divoced	5.42659	no	5.06471	3.90043	Dustin Powers
17	7.34470	1.00000	19.76183	49.85833	5.27065	8.91600	11.60598	4.70298	70.91193	98.88956	296-35-9082	single	5.92501	no	3.70537	5.40486	Michael Smith
18	5.34732	1.00000	33.56156	45.65971	6.64180	4.34890	9.81791	8.58970	71.40589	87.76660	487-29-7430	divoced	6.73355	no	4.17423	6.27134	Cheryl Hunt
19	5.56410	1.00000	31.36864	45.90532	4.59061	7.46010	12.58164	6.86531	76.00564	101.18290	084-58-7859	separated	5.08411	Y	4.10947	7.43744	Mr. Cole Frey
20	6.52299	1.00000	65.63725	42.87690	4.46600	6.25684	3.43822	8.28820	81.13779	72.27042	652-61-6724	single	6.14117	yes	4.92810	5.35493	Christina Wright
21	4.91635	1.00000	81.71667	55.50643	7.63601	6.45546	10.92347	8.10632	76.14590	30.81407	479-21-4128	divoced	4.66610	no	5.84853	5.15819	Elaine Williams
22	6.59913	1.00000	81.32981	57.84293	4.64688	5.88554	5.37785	7.74443	65.56071	37.18000	894-53-7476	single	8.16067	Y	5.84950	5.15018	Alicia Mcconnell
23	5.35933	0.00000	81.32657	52.81187	3.78114	6.73765	6.57667	6.64383	64.64480	46.20814	027-90-3703	single	5.39014	no	6.96090	4.82736	Justin Norris
24	4.67870	0.00000	40.61720	65.84055	4.81551	5.58746	4.68397		74.83465	113.12785	409-43-1283	divoced	6.09808	no	8.20259	4.17508	James Daniel
25	5.24628	1.00000	62.61838	61.38875	8.39121	4.45779	11.61555	6.66807	80.36864	74.42849	324-44-7863	married	4.23275	yes	7.42171	5.65616	Lisa Young
26	5.45671	1.00000	78.09231	51.74462	3.74134	6.45080	5.64799	5.59458	71.47428	115.34062	757-88-7456	married	6.07899	no	6.99349	5.24469	Jason Hayes
27	5.56923	1.00000	57.68421	54.60924	5.11950	4.65239	10.94169	6.33852	76.23237	102.55599	389-42-6346	married	4.96856	no	7.69224	4.45640	Angela Smith
28	7.60608	1.00000	7.33401	59.15098	3.77298	8.10368	11.58075	6.47817	74.94007	99.25359	721-93-9827	divoced	5.67943	no	3.10052	5.60444	Gary Jackson
29	5.45602	0.00000	67.70053	66.57699	4.60062	3.26590	7.69426	7.83901	73.74689	58.39376	025-87-8935	married	6.51270	Y	7.46712	5.12654	Calvin Coleman
30	6.57317	0.00000	60.46833	47.84927	3.86921	4.62181	9.57864	6.77333	71.14749	77.30859	567-68-7808	divoced	6.16285	Y	7.67556	5.92041	Marco Harrison
31	5.30694	0.00000	31.40950	67.02592	3.89092	6.40633	6.83657	4.54771	66.23914	45.47910	527-34-0641	divoced	6.75508	no	8.26345	6.30049	James Miller
32	6.18959	0.00000	35.72559	58.89448	4.49051	7.51444	10.02227	4.68618	71.62622	98.19737	831-13-0064	nop	7.26661	no	8.41409	5.20437	Lonnie King
33	6.72842	1.00000	46.17026	65.33429	3.35971	5.11095	8.09095	10.36698	67.33219	33.71918	708-04-8772	nop	6.01942	no	4.72498	5.64659	Christopher Buckley
34	8.07444	1.00000	33.59487	44.03296	4.80723	5.99179	6.21285	8.34321	71.79962	70.06391	793-22-0027	widowed	6.32371	N	4.25804	6.68081	Jacob Griffin
35	6.44829	1.00000	84.43496	31.35839	3.92567	6.12870	7.62737	8.05396	75.66142	56.72761	865-91-6181	married	5.47399	yes	5.70404	6.81873	William Buchanan
36	5.80773	0.00000	63.98664	42.37709	4.54019	5.61914	6.89176	5.38955	72.69508	12.75605	562-87-5788	married	3.76630	no	5.08416	5.36033	John Foster
37	5.58813	0.00000	85.72474	33.90285	4.97282	2.95850	5.49316	9.04784	74.42231	46.96252	577-47-1274	married	5.28051	no	6.09753	5.68948	Robert Henry
38	7.03122	0.00000	86.43629	49.13840	4.84019	7.38901	9.09405	3.34188	79.69810	31.08141	301-56-2100	divoced	6.21401	no	5.72232	4.49184	Brianna Smith
39	5.18582	1.00000	33.02067	48.47171	6.99680	4.72864	12.02398	6.17621	59.58781	88.77952	057-52-4512	married	4.76241	Y	8.45039	5.03282	Donna Acosta
40	5.27736	0.00000	74.98212	61.97281	4.11939	7.09018	9.96926	4.75807	82.34077	31.26556	300-38-1740	single	5.63090	no	7.26357	6.00709	Jason Potter
41	6.95996	1.00000	65.39335	40.75704	5.77577	7.94679	10.93961	4.35103	69.33774	9.09698	611-07-5418	divoced	6.20537	no	5.20200	6.30231	Rachel Martin
42	7.86099	1.00000	25.21119	57.24710	8.06921	5.98093	13.71449	6.50050	86.55077	77.74955	403-42-5517	divoced	6.30954	Y	8.65162	5.80185	Ronald Esparza
43	4.97869	0.00000	15.89232	67.12758	4.77877	8.59379	6.91551	3.50861	72.22934	75.85893	707-63-7784	divoced	5.48450	no	9.08976	6.61571	Julia Bell
44	4.93984	0.00000	12.99449	56.22794	3.13766	7.37129	7.35499	5.58089	63.65029	36.85605	744-68-8724	married	5.65429	no	9.15375	2.83198	Ashley Gray
45	5.52376	1.00000	91.64609	39.28949	4.40049	5.43155	4.62310	7.79993	77.59297	50.93056	556-03-8574	divoced	5.92419	Y	6.39054	5.76898	Erika Mack
46	4.05456	1.00000	83.86052	47.11386	3.83919	4.46215	9.45656	9.89279	77.08700	29.59644	306-75-2952	widowed	7.06238	no	5.99467	3.43161	Kyle Davis
47	5.76418	0.00000	83.77569	37.34492	4.86190	5.03589	11.24835	6.41601	72.85593	-10.98075	280-99-3868	widowed	5.46548	no	5.65429	4.78133	Christina Harris
48	5.79961	1.00000	18.44040	30.54865	4.25270	7.33645	5.50455	7.66526	71.42439	102.14231	874-20-8669	divoced	6.13685	no	3.25691	4.29078	Kayla Lucas
49	6.22438	0.00000	39.63304	38.40865	2.87429	5.58702	9.02753	5.87739	71.00717	105.93902	149-92-8921	widowed	6.74340	no	8.25707	7.04289	Jeffrey Bennett
50	6.82936	1.00000	66.03142	49.87588	8.96107	6.75684	7.20611	8.84172	72.06651	99.24566	094-54-2326	married	5.03929	Y	5.16053	6.26182	Karen Edwards
51	5.99411	1.00000	32.39291	53.31539	4.03827	7.86679	8.67632	6.27671	59.93148	91.98374	147-89-9996	divoced	5.11329	yes	4.22884	6.12700	Dillon Johnson
52	5.26615	1.00000	7.82574	46.07698	5.87096	8.48359	10.44780	5.02979	81.10588	79.11825	169-25-9384	widowed	6.54782	no	3.47947	4.36779	Patrick Welch
53	5.56749	1.00000	65.75162	38.83386	7.22670	4.28031	7.76809	7.89505	75.31777	58.90117	771-78-7557	widowed	5.92806	no	5.20656	5.49898	Dana Diaz
54	5.01871	0.00000	87.28154	50.45479	4.93916	3.78674	4.49739	6.52709	75.39487	72.86056	571-01-2975	divoced	7.10262	no	6.63998	4.22417	Sandra Gomez DDS
55	5.27735	1.00000	70.00480	78.35782	7.37987	5.18430	6.28714	7.98278	74.41761	53.97810	115-68-6964	married	4.90184	yes	5.32655	5.20857	Anthony Walker
56	6.45934	1.00000	81.48682	79.10400	6.05215	3.28969	9.56376	6.52440	69.33352	62.73253	248-13-8451	divoced	5.89258	yes	6.91835	5.85553	Robert Burgess
57	5.64531	0.00000	32.95004	50.98532	5.09427	7.97504	9.69364	3.87308	72.75895	64.63841	724-69-7365	widowed	5.46713	no	8.17974	7.08778	Sharon Odom
58	5.41828	1.00000	43.73128	59.66729	5.23559	7.77401	9.25750	5.65669	79.60397	9.71286	105-43-9129	married	5.25695	no	4.40219	5.96679	Kimberly Campbell
59	6.67860	0.00000	55.30429	33.48714	2.58024	5.38967	9.46698	7.31361	69.23954	163.25170	642-21-8017	single	5.98617	yes	7.71709	5.62248	Alan Jones
60	5.92761	1.00000	83.02077	41.52949	3.94002	6.44295	7.85191	7.30937	60.51184	99.24233	893-76-6037	married	6.52502	yes	5.52189	5.41431	Thomas Foster
