	blood_group	job	sex	name	company	race	ssn	birthdate	current_location
0	A-	Pension scheme manager	F	Megan Wells	Smith-Lawrence	Indian	788-45-8299	08/15/1913, 00:00:00	(Decimal('-2.7462585'), Decimal('-56.259761'))
1	AB+	Psychotherapist, child	F	Barbara Patel	Oneal and Sons	Hawaiian	291-49-5180	10/29/1905, 00:00:00	(Decimal('-54.1724985'), Decimal('163.273340'))
2	B-	Engineer, drilling	F	Brianna Lane	Morris-Arnold	Asian	146-49-1796	1980/05/13	(Decimal('39.8342665'), Decimal('-54.720127'))
3	A-	Engineer, mining	M	William Cooper	Dunn LLC	White	700-73-0733	1921-12-14	(Decimal('-76.8352515'), Decimal('-0.539735'))
4	A+	Restaurant manager	F	Holly Williams	Bailey-Sullivan	White	748-70-9973	1924-12-30	(Decimal('-59.667122'), Decimal('81.468274'))
5	A+	Educational psychologist	M	Darren Foster	Hale and Sons	Black	501-83-3857	30 Sep 1941	(Decimal('64.1822865'), Decimal('128.656241'))
6	B-	Town planner	M	Jeffrey Schmidt	Haney PLC	Black	336-79-3172	2010/07/27	(Decimal('-4.223264'), Decimal('152.767647'))
7	B+	Exhibitions officer, museum/gallery	M	Brady Nunez	Johnson-Gray	Black	833-80-0664	08/29/1992, 00:00:00	(Decimal('-75.6047725'), Decimal('-27.580261'))
8	A-	Ophthalmologist	M	Philip Morris	Valdez, Savage and White	White	249-77-7204	06/17/1909, 00:00:00	(Decimal('45.9904675'), Decimal('36.450156'))
9	O-	Environmental education officer	M	Harry Hood	Mendoza, Nguyen and French	White	286-78-0920	1950-08-26	(Decimal('26.7949755'), Decimal('132.369778'))
10	A+	Insurance underwriter	F	Karen Owen	Bishop PLC	Asian	822-25-0847	05/02/1922, 00:00:00	(Decimal('-35.994853'), Decimal('72.163656'))
11	O-	Petroleum engineer	F	Julie Williams	Henry LLC	White	284-51-0004	1953/03/29	(Decimal('68.247123'), Decimal('-134.730265'))
12	O-	Financial adviser	M	Angel Moore	Weaver Inc	White	867-82-3417	09/23/1923, 00:00:00	(Decimal('87.262956'), Decimal('-40.442930'))
13	O+	Therapist, speech and language	M	James Todd	Randall-Costa	Black	029-09-1329	31 Jul 2005	(Decimal('-46.816823'), Decimal('58.702080'))
14	A+	Designer, industrial/product	F	Rhonda Coleman	Barnett-Ware	Hawaiian	154-32-5128	08/12/1990, 00:00:00	(Decimal('69.999377'), Decimal('98.208151'))
15	AB+	Designer, industrial/product	M	Billy Roberts DDS	Beck-Castillo	Asian	200-38-0629	2004-09-18	(Decimal('31.997831'), Decimal('164.390823'))
16	O+	Higher education careers adviser	M	John Lopez	Ramirez-Peterson	black	745-24-1935	29 May 1973	(Decimal('79.9994865'), Decimal('34.059416'))
17	O-	Scientific laboratory technician	M	Jason Potter	Henderson-Phillips	White	300-38-1740	2011/01/20	(Decimal('78.7173975'), Decimal('48.007196'))
18	B+	Surveyor, mining	F	Becky Cole	Porter-Garrison	Hawaiian	885-18-6973	1981-10-31	(Decimal('32.143632'), Decimal('9.442351'))
19	AB-	Runner, broadcasting/film/video	M	Bryan Blanchard	Serrano-Bautista	Black	366-77-1252	29 Oct 2001	(Decimal('30.2077065'), Decimal('-69.271025'))
20	B+	Probation officer	F	Dorothy Gomez DVM	Mckinney, Kim and Villa	White	780-21-3532	10/05/1953, 00:00:00	(Decimal('-12.6438865'), Decimal('154.360599'))
21	O+	Youth worker	M	Michael Vaughn	Kelly LLC	Black	302-99-3583	2006-05-20	(Decimal('19.015376'), Decimal('166.637777'))
