ssn,etytr,indicator,alp,er-cv,leukocyty,hbver,alt,trombocyty,ast,weight,hematokrit,smoker,hemoglobin,erytrocyty,blood_group,sex,race,age
613-31-7943,6.56611,0.0,71.34866,49.93293,4.01096,7.63611,16.53642,4.12686,62.82161,38.94182,6.15761,0,7.24929,7.40249,0,0,0,57
071-29-7068,6.5751,0.0,73.19819,50.61146,7.36386,4.45735,12.41316,6.89853,64.10856,39.93677,5.02794,0,7.41189,7.05999,1,0,1,64
465-01-6369,7.46203,1.0,12.80221,45.76702,7.86319,6.46036,7.75601,6.02906,62.88964,36.82128,4.67262,1,9.91113,5.59064,2,1,1,103
698-87-9617,5.15667,1.0,86.69531,41.73339,4.49672,3.99015,3.84333,6.71704,72.09725,64.7021,6.40977,1,6.55248,5.7148,3,1,0,36
575-82-0142,6.58272,1.0,29.28991,56.11137,4.82038,8.01151,6.17958,5.88435,72.38079,33.35858,4.44394,0,4.26543,3.29458,3,0,0,40
023-11-8847,5.07779,1.0,10.54181,38.45767,3.55622,7.48482,7.52265,7.64511,74.19439,26.24641,6.74457,0,3.16694,4.40417,4,0,0,75
591-86-1760,5.49397,1.0,18.75318,73.16755,3.8661,5.91512,8.31903,9.43127,83.5389,113.85574,4.12111,0,3.84871,5.60405,1,1,0,59
004-28-3072,3.71444,1.0,92.76949,56.20062,6.28885,4.92173,8.74583,7.45973,72.64145,76.34527,5.60958,0,5.91275,5.13749,0,0,0,90
188-24-3026,6.98565,1.0,17.12105,48.60304,2.9387,7.78371,8.13201,6.87279,67.11059,149.27137,5.54959,1,3.49963,5.73093,2,0,0,4
473-95-4591,5.86255,0.0,62.51962,79.94708,4.44854,7.33795,7.23011,4.5657,72.35958,51.35838,5.62093,0,7.64265,5.90964,3,1,2,6
057-52-4512,7.45985,0.0,44.89612,71.0688,2.82551,4.25394,8.9294,8.18667,69.71307,-7.4588,5.2105,0,8.09933,6.40121,5,1,2,49
359-08-9603,6.76904,1.0,82.43444,55.05481,7.32573,4.34537,13.21338,7.54311,67.13869,124.3764,6.41748,0,5.80067,7.11096,6,0,0,43
149-78-5801,4.89861,1.0,81.39359,37.21254,8.24034,3.88228,11.11524,7.86313,58.56651,79.67004,4.06044,0,5.50393,6.40483,5,0,0,103
314-15-7857,4.52487,1.0,94.26772,33.52146,6.75694,3.71782,10.5232,7.23782,72.89025,8.96576,6.17462,0,6.23802,6.67652,1,1,3,87
809-13-6960,5.72602,1.0,65.76478,44.67286,4.03766,7.24666,6.58919,6.38373,81.8696,61.64162,5.42659,0,5.06471,3.90043,5,0,0,88
487-29-7430,5.34732,1.0,33.56156,45.65971,6.6418,4.3489,9.81791,8.5897,71.40589,87.7666,6.73355,0,4.17423,6.27134,4,1,0,29
084-58-7859,5.5641,1.0,31.36864,45.90532,4.59061,7.4601,12.58164,6.86531,76.00564,101.1829,5.08411,1,4.10947,7.43744,5,0,0,52
652-61-6724,6.52299,1.0,65.63725,42.8769,4.466,6.25684,3.43822,8.2882,81.13779,72.27042,6.14117,0,4.9281,5.35493,7,1,3,32
479-21-4128,4.91635,1.0,81.71667,55.50643,7.63601,6.45546,10.92347,8.10632,76.1459,30.81407,4.6661,0,5.84853,5.15819,4,1,1,1
894-53-7476,6.59913,1.0,81.32981,57.84293,4.64688,5.88554,5.37785,7.74443,65.56071,37.18,8.16067,1,5.8495,5.15018,2,1,0,28
027-90-3703,5.35933,0.0,81.32657,52.81187,3.78114,6.73765,6.57667,6.64383,64.6448,46.20814,5.39014,0,6.9609,4.82736,3,0,2,36
409-43-1283,4.6787,0.0,40.6172,65.84055,4.81551,5.58746,4.68397,,74.83465,113.12785,6.09808,0,8.20259,4.17508,0,0,1,3
757-88-7456,5.45671,1.0,78.09231,51.74462,3.74134,6.4508,5.64799,5.59458,71.47428,115.34062,6.07899,0,6.99349,5.24469,5,0,0,66
389-42-6346,5.56923,1.0,57.68421,54.60924,5.1195,4.65239,10.94169,6.33852,76.23237,102.55599,4.96856,0,7.69224,4.4564,4,1,1,19
721-93-9827,7.60608,1.0,7.33401,59.15098,3.77298,8.10368,11.58075,6.47817,74.94007,99.25359,5.67943,0,3.10052,5.60444,4,0,0,72
025-87-8935,5.45602,0.0,67.70053,66.57699,4.60062,3.2659,7.69426,7.83901,73.74689,58.39376,6.5127,1,7.46712,5.12654,5,0,1,8
567-68-7808,6.57317,0.0,60.46833,47.84927,3.86921,4.62181,9.57864,6.77333,71.14749,77.30859,6.16285,1,7.67556,5.92041,3,0,0,58
527-34-0641,5.30694,0.0,31.4095,67.02592,3.89092,6.40633,6.83657,4.54771,66.23914,45.4791,6.75508,0,8.26345,6.30049,3,0,0,72
831-13-0064,6.18959,0.0,35.72559,58.89448,4.49051,7.51444,10.02227,4.68618,71.62622,98.19737,7.26661,0,8.41409,5.20437,3,0,0,33
793-22-0027,8.07444,1.0,33.59487,44.03296,4.80723,5.99179,6.21285,8.34321,71.79962,70.06391,6.32371,0,4.25804,6.68081,7,0,0,14
865-91-6181,6.44829,1.0,84.43496,31.35839,3.92567,6.1287,7.62737,8.05396,75.66142,56.72761,5.47399,0,5.70404,6.81873,0,0,0,104
562-87-5788,5.80773,0.0,63.98664,42.37709,4.54019,5.61914,6.89176,5.38955,72.69508,12.75605,3.7663,0,5.08416,5.36033,4,0,1,12
577-47-1274,5.58813,0.0,85.72474,33.90285,4.97282,2.9585,5.49316,9.04784,74.42231,46.96252,5.28051,0,6.09753,5.68948,2,0,0,50
301-56-2100,7.03122,0.0,86.43629,49.1384,4.84019,7.38901,9.09405,3.34188,79.6981,31.08141,6.21401,0,5.72232,4.49184,5,1,0,4
057-52-4512,5.18582,1.0,33.02067,48.47171,6.9968,4.72864,12.02398,6.17621,59.58781,88.77952,4.76241,1,8.45039,5.03282,5,1,2,49
300-38-1740,5.27736,0.0,74.98212,61.97281,4.11939,7.09018,9.96926,4.75807,82.34077,31.26556,5.6309,0,7.26357,6.00709,1,0,0,10
611-07-5418,6.95996,1.0,65.39335,40.75704,5.77577,7.94679,10.93961,4.35103,69.33774,9.09698,6.20537,0,5.202,6.30231,2,1,0,61
403-42-5517,7.86099,1.0,25.21119,57.2471,8.06921,5.98093,13.71449,6.5005,86.55077,77.74955,6.30954,1,8.65162,5.80185,0,0,0,39
707-63-7784,4.97869,0.0,15.89232,67.12758,4.77877,8.59379,6.91551,3.50861,72.22934,75.85893,5.4845,0,9.08976,6.61571,4,1,0,113
556-03-8574,5.52376,1.0,91.64609,39.28949,4.40049,5.43155,4.6231,7.79993,77.59297,50.93056,5.92419,1,6.39054,5.76898,4,1,1,48
280-99-3868,5.76418,0.0,83.77569,37.34492,4.8619,5.03589,11.24835,6.41601,72.85593,-10.98075,5.46548,0,5.65429,4.78133,4,1,4,19
874-20-8669,5.79961,1.0,18.4404,30.54865,4.2527,7.33645,5.50455,7.66526,71.42439,102.14231,6.13685,0,3.25691,4.29078,2,1,3,23
149-92-8921,6.22438,0.0,39.63304,38.40865,2.87429,5.58702,9.02753,5.87739,71.00717,105.93902,6.7434,0,8.25707,7.04289,5,0,0,63
094-54-2326,6.82936,1.0,66.03142,49.87588,8.96107,6.75684,7.20611,8.84172,72.06651,99.24566,5.03929,1,5.16053,6.26182,7,1,0,10
147-89-9996,5.99411,1.0,32.39291,53.31539,4.03827,7.86679,8.67632,6.27671,59.93148,91.98374,5.11329,0,4.22884,6.127,7,0,0,64
771-78-7557,5.56749,1.0,65.75162,38.83386,7.2267,4.28031,7.76809,7.89505,75.31777,58.90117,5.92806,0,5.20656,5.49898,7,1,0,16
571-01-2975,5.01871,0.0,87.28154,50.45479,4.93916,3.78674,4.49739,6.52709,75.39487,72.86056,7.10262,0,6.63998,4.22417,6,1,3,96
115-68-6964,5.27735,1.0,70.0048,78.35782,7.37987,5.1843,6.28714,7.98278,74.41761,53.9781,4.90184,0,5.32655,5.20857,0,0,0,34
248-13-8451,6.45934,1.0,81.48682,79.104,6.05215,3.28969,9.56376,6.5244,69.33352,62.73253,5.89258,0,6.91835,5.85553,5,0,1,79
724-69-7365,5.64531,0.0,32.95004,50.98532,5.09427,7.97504,9.69364,3.87308,72.75895,64.63841,5.46713,0,8.17974,7.08778,3,1,1,40
105-43-9129,5.41828,1.0,43.73128,59.66729,5.23559,7.77401,9.2575,5.65669,79.60397,9.71286,5.25695,0,4.40219,5.96679,1,1,4,30
642-21-8017,6.6786,0.0,55.30429,33.48714,2.58024,5.38967,9.46698,7.31361,69.23954,163.2517,5.98617,0,7.71709,5.62248,2,0,0,22
893-76-6037,5.92761,1.0,83.02077,41.52949,3.94002,6.44295,7.85191,7.30937,60.51184,99.24233,6.52502,0,5.52189,5.41431,5,0,0,108
079-37-4931,7.01911,1.0,12.5188,36.222,5.70105,3.78287,7.29173,5.61749,91.02698,32.07881,7.87613,0,8.93766,6.2732,0,1,0,30
676-12-2513,5.88543,1.0,89.619,52.89164,8.42585,4.20496,12.19375,7.37351,80.88165,64.46757,4.77035,0,6.4435,6.69037,7,0,4,22
696-65-9856,5.65794,0.0,90.81296,69.30317,6.2231,4.76314,5.85208,6.26945,72.29838,125.24811,4.34589,0,6.00263,5.30981,5,1,1,13
375-27-3631,6.2197,1.0,78.06563,38.29139,4.95157,6.39584,26.2718,5.52673,77.40475,18.26453,6.19372,0,6.8102,8.45245,5,1,0,82
191-13-3353,7.40217,1.0,15.34635,52.40322,4.49002,9.83963,13.33373,3.7318,64.56452,-20.43153,6.58267,0,3.17575,7.52013,5,1,0,67
411-55-1944,7.12224,1.0,75.76572,52.81713,6.86805,4.79531,10.74543,6.92118,74.02979,125.56738,6.12402,0,7.21072,7.16899,4,1,3,13
552-51-3394,6.7522,1.0,43.37042,47.6783,4.02978,7.43916,10.29205,6.03661,72.5767,30.69167,6.14136,0,4.61421,5.98605,0,0,0,34
660-80-4979,5.24783,1.0,86.44931,54.4263,6.61829,5.38604,9.03576,7.39745,88.29252,54.63234,4.30373,1,6.32053,5.89173,0,1,0,0
152-19-6024,6.65551,0.0,25.26792,58.43907,4.45208,7.32069,9.64582,6.83848,77.18423,60.29927,4.5626,1,4.06621,5.92671,5,0,3,92
850-58-4942,7.50114,1.0,84.3037,68.70951,8.14907,4.5503,5.47314,7.74701,69.55044,86.10577,5.38607,0,5.7708,4.56409,5,0,3,0
213-46-7676,5.24555,1.0,54.55914,39.8709,5.86651,7.63929,9.62002,5.708,66.43593,86.26317,5.38032,0,4.68615,5.42862,6,0,0,34
779-61-1579,6.05104,1.0,46.36385,37.79222,7.4245,5.24668,5.86411,6.65939,68.09809,103.51748,5.18858,0,7.88864,6.27912,5,1,3,76
664-62-4381,4.05741,1.0,88.93913,51.02614,6.4462,6.94089,11.92113,5.76721,70.52973,67.78691,4.93161,0,5.79476,5.5829,1,0,1,84
660-80-4979,6.34298,1.0,30.01516,64.64441,4.972,5.17337,8.7182,5.86142,73.04736,27.58868,5.0582,1,8.70521,4.80789,0,1,0,0
567-74-2042,4.82642,1.0,89.32364,70.94461,5.93274,3.20827,1.72155,6.64136,79.57379,44.01765,6.59799,0,6.38239,4.61519,3,1,1,94
834-95-1628,6.1837,0.0,35.20978,50.7898,7.66176,2.43762,5.93359,8.27142,67.07937,89.93793,5.19335,0,4.38189,5.95418,1,1,0,23
477-42-9117,4.77314,1.0,28.3695,42.78339,6.66275,5.50073,10.13403,6.32508,67.09174,26.86894,6.48775,0,8.32369,6.40544,6,0,0,48
772-03-8160,4.97241,0.0,53.63819,47.79996,4.07322,5.96034,8.78718,6.30359,78.82718,15.39741,6.05691,0,7.88843,5.60887,4,0,4,36
076-79-7984,4.56635,1.0,93.17502,20.84063,3.31474,7.09502,5.1081,5.7791,66.42191,25.18313,6.48735,0,6.5592,5.5918,6,0,0,10
011-38-1168,,1.0,72.97158,40.64987,7.14212,6.02901,9.94711,7.47247,66.42493,86.01786,4.39631,0,7.18545,4.14178,3,1,1,23
613-52-7074,4.90823,0.0,88.39012,54.25667,5.60066,5.7839,5.9015,6.02972,80.33689,126.08278,5.75171,0,6.6995,6.08883,6,0,0,100
029-92-2922,4.78614,1.0,20.71511,43.97639,5.10051,4.55693,10.04444,5.13502,72.53297,108.27968,5.82617,0,9.99561,6.36144,5,1,0,8
020-67-1592,5.04564,0.0,91.60906,45.74061,7.08137,4.33304,7.51715,7.45072,78.65023,73.2079,6.02591,0,6.44906,5.67674,7,0,0,5
192-27-5052,5.91309,1.0,77.25865,37.08427,5.16258,2.83068,9.39142,6.56138,74.72666,34.62378,6.01802,1,6.91999,4.0882,4,0,0,5
698-53-3266,5.34045,1.0,40.40671,46.48884,7.28803,4.42216,9.87716,6.31394,78.50381,118.2597,6.10605,1,8.20574,5.95379,2,1,2,4
870-24-5618,5.71224,1.0,26.89369,58.38081,7.42512,4.91932,5.61706,6.46038,70.83953,44.17105,7.46739,0,8.38207,3.56133,5,1,2,5
253-59-2612,7.49617,1.0,32.34066,54.97259,3.69301,8.14602,10.12659,5.98152,77.32108,39.45087,4.97563,0,4.31295,6.73671,4,0,0,39
409-43-1283,4.01809,1.0,32.26899,61.97734,5.68369,9.17297,13.87185,3.74418,72.40242,86.72634,5.83529,0,4.09266,,0,0,1,3
767-46-9030,6.65207,1.0,89.26672,53.05483,7.54886,5.30688,24.73595,7.72732,75.84047,68.51455,6.14272,0,6.30827,8.08781,4,0,0,67
894-95-6061,5.30147,1.0,53.59269,62.98096,7.36236,6.25083,5.46501,7.17549,61.03144,51.63092,6.33994,0,7.65428,4.46266,5,1,0,84
