ssn,etytr,indicator,alp,er-cv,leukocyty,hbver,alt,trombocyty,ast,weight,hematokrit,smoker,hemoglobin,erytrocyty,blood_group,sex,race,age
825-95-0665,0.8142396969887686,1.0,0.18419417722884732,0.8441684240169576,0.47827752391705847,0.5470364559037644,0.3189738558099295,0.7199304801693037,0.3753220513638924,0.2663140965722033,0.19086569200743386,1.0,0.23807502315529486,0.7643067907708934,0.8571428571428571,1.0,0.0,0.9224137931034483
296-45-4760,0.41241987500405286,1.0,0.8786670821500875,0.657820657306092,0.6685921317975186,0.33685715497343505,0.28448616035547075,0.5766929467709099,0.5931662245576168,0.3675849501030388,0.3030434644829726,0.0,0.5300069674490793,0.7065542623324337,0.14285714285714285,1.0,0.5,0.48275862068965514
360-36-0154,0.48906523857747985,1.0,0.6945210754171519,0.9253595024945402,0.38165579000840355,0.6497048673165039,0.351534436471625,0.5769268725944933,0.36206564650486817,0.4923797078873413,0.2082872753098548,0.0,0.4013407124320987,0.5829597088082492,0.0,1.0,0.0,0.12931034482758622
684-86-6896,0.46128348752805937,1.0,0.1610217962726351,0.21006003532641046,0.7595046514067368,0.48739097861272496,0.1769607173016644,0.7619804745039128,0.6318145192511004,0.6415778029697041,0.23876852184967778,0.0,0.23021786837779426,0.4438358073208437,0.8571428571428571,0.0,0.0,0.20689655172413793
734-78-2794,0.22754640622347855,0.0,0.8255515289697054,0.19726549227282333,0.4168468966460134,0.3014785915214226,0.22441369721966103,0.5561001641135855,0.34358585917183104,0.2803884252926303,0.4027916288416118,0.0,0.4427083767929708,0.584339969758539,1.0,1.0,0.75,0.3275862068965517
061-40-6691,0.8647167756614544,1.0,0.326131070578441,0.6019562176493964,0.5945444237924788,0.46574017419189384,0.23154334327754295,0.6909273331359584,0.47319085922273896,0.7956448673628074,0.7811602334559267,0.0,0.2867115726408719,0.24659030352559685,0.0,1.0,0.25,0.896551724137931
553-54-9095,0.4218641827679528,1.0,0.14858442178540077,0.3879568906887345,0.5963995648550952,0.6590111893958212,0.18395882961467724,0.595919639169417,0.8230059453268603,0.4502561719290008,0.466883892771329,0.0,0.19967791193478138,0.5224560736189385,0.2857142857142857,1.0,0.0,0.9482758620689655
096-70-7990,0.747387653360339,1.0,0.7859429003238977,0.36146969393019635,0.683724378368631,0.32604538359171326,0.28166157821749477,0.602973051014105,0.45681297425696443,0.3384640500532021,0.3952141907799448,0.0,0.4113068764967499,0.7376148412888208,0.14285714285714285,1.0,0.0,0.5603448275862069
675-49-1073,0.6714059850821132,1.0,0.41050308667667007,0.33606436169721166,0.6260971438606501,0.4528969044892882,0.2542249963884776,0.5220877148736618,0.5790789561853871,0.8352154231114727,0.661900865114146,0.0,0.6763473878324141,0.19770496310202812,1.0,1.0,0.25,0.9310344827586207
780-21-3532,0.39335579980050994,0.0,0.8560438654770308,0.45328954772082675,0.26284308028847797,0.7163515421010862,0.17191331182902037,0.28866446630188863,0.685327670170153,0.5826775171513084,0.6220824999394177,1.0,0.5638867101123971,0.07206920511656889,0.42857142857142855,1.0,0.0,0.5862068965517241
234-81-8075,0.6132945033442234,1.0,0.8580150393033082,0.6181850010084716,0.45840606374189263,0.4169852241816959,0.31363106497411497,0.5228159917541146,0.6192734289185489,0.7157776950088588,0.45442632362837165,0.0,0.49847195914655007,0.537589985293536,0.14285714285714285,1.0,1.0,0.08620689655172414
039-37-7906,0.5512466219244494,0.0,0.5832226804436348,0.1829942585069073,0.5174700307500828,0.7721420190993152,0.19371462606766138,0.20796645357486176,0.46654631892420095,0.2186289461396932,0.5647102026055948,0.0,0.6509047253489983,0.2920748918670052,0.14285714285714285,0.0,0.25,0.19827586206896552
314-67-4909,0.2925256085303918,1.0,0.5088474347560547,0.5828126520522534,0.6383476751216627,0.39862197370360725,0.5902226152075633,0.47101695596711884,0.3732774499285749,0.3211676835078041,0.3000124892583058,1.0,0.671511894728937,0.8025002871620666,0.42857142857142855,0.0,0.0,0.6982758620689655
474-26-2570,0.42844964211947656,1.0,0.8713934404162427,0.5971924800086114,0.6901065822149254,0.4364924545790497,0.17835070903798417,0.621247592208808,0.497889691917514,0.35849768780934416,0.4270301102969274,0.0,0.4462275643967525,0.4177501934813268,0.0,0.0,0.0,0.646551724137931
556-26-8981,0.8595330865454851,0.0,0.30639282307059373,0.380250236895712,0.12838660479720154,0.6494100375403119,0.10668130019975676,0.4980920425013981,0.35740130328838693,0.4753812669498978,0.575391314559679,0.0,0.7484062481746954,0.3900206944991045,0.8571428571428571,0.0,0.0,0.49137931034482757
072-83-4077,0.2655753837703615,1.0,0.20050169519917574,0.24561002208852037,0.556472780460438,0.7498854000698707,0.22418036217348042,0.48552035702928825,0.5316321270697888,0.3393609612584615,0.3309001027101689,0.0,0.21464749714209427,0.44064030550277833,0.42857142857142855,0.0,0.0,0.034482758620689655
014-09-4971,0.30237995792782135,1.0,0.8895397922851083,0.41113910005180987,0.41156080537165884,0.5218012483819702,0.3509430193878154,0.6418376335478871,0.6838039862979737,0.704470971936077,0.4256301949256329,1.0,0.5040511335664162,0.7846604614553183,0.14285714285714285,1.0,0.0,0.06034482758620689
637-77-2180,0.5562605728758412,1.0,0.7997219314285254,0.4873326711670055,0.4051621009060019,0.16908588633706312,0.25714394671687574,0.4652190678786949,0.3469424625241251,0.39180128701950134,0.7929840193415736,0.0,0.5877669117094866,0.3430466294705483,0.7142857142857142,1.0,0.0,0.9310344827586207
577-47-1274,0.44734588632883066,1.0,0.890454722260989,0.4136965679886616,0.7321902332833995,0.6481459043903385,0.2748909837334448,0.6167774159237694,0.7127390626846148,0.5389720748398902,0.7533110515023458,1.0,0.54228761796684,0.16143027422565104,0.2857142857142857,0.0,0.0,0.43103448275862066
309-08-7878,0.7311233042871284,1.0,0.8209359290113362,0.5974282884196459,0.6840025316664565,0.29747415695848756,0.2536804402211448,0.5429089407180792,0.5523977953821606,0.2036285405294905,0.3896368981156131,0.0,0.5665735587393507,0.39589386490013345,1.0,0.0,0.25,0.7931034482758621
520-85-0257,0.42457045754924794,1.0,0.2446028672688288,0.5879078805947754,0.37274427693696655,0.7829426838798792,0.14841789466506244,0.41948291427715095,0.6374806816537806,0.2543605753045489,0.41961111804958784,0.0,0.27047574743622915,0.343956132934382,0.0,1.0,0.25,0.5689655172413793
487-29-7430,0.4810818233311782,0.0,0.8448602648180749,0.30461553851029965,0.4858795949805117,0.5909822476125857,0.2245180839508471,0.3563357347281161,0.45710042603953216,0.2866356192908106,0.9392462825815855,0.0,0.5013444673447761,0.374931975543207,0.5714285714285714,1.0,0.0,0.25
248-91-4682,0.5358118919702406,0.0,0.6840370300114567,0.4756016444340788,0.5494022650635922,0.2055205865900917,0.31957916957931504,0.6254381540328446,0.5319340224756985,0.20284016392070947,0.656381358570334,0.0,0.40504347354455417,0.7287796647830089,0.0,1.0,0.75,0.8448275862068966
667-57-4353,0.2777812742568234,1.0,0.8720978436637385,0.5630638675188931,0.9488881529088825,0.6039456705458995,0.30360121295442566,0.6618172746910534,0.5738721483611104,0.4945029590951009,0.2779922492035767,0.0,0.4725860083609389,0.5209778951114656,0.42857142857142855,1.0,0.25,0.6810344827586207
548-50-4742,0.5047746010676342,1.0,0.8336331353598156,0.952343188086225,0.28056710271517693,0.8118905252614596,0.3215854631619872,0.30027577661545884,0.5594583593890774,0.8690341764978663,0.6118487644022583,1.0,0.4485347496307669,0.6514775194469915,0.7142857142857142,1.0,0.25,0.4224137931034483
120-04-5863,0.5567602515176309,1.0,0.9202530735509835,0.2980614238098266,0.40814753439495177,0.6768069935238419,0.6382217671865643,0.39301640039328783,0.4169123463855544,0.37029528688381974,0.3834575113568366,0.0,0.5336857388416512,0.8744282650326987,0.8571428571428571,0.0,0.0,0.9655172413793103
029-92-2922,0.790445839221722,0.0,0.8233019564957501,0.5800945353881147,0.3912697580184171,0.26900793819075486,0.115438151184951,0.6339956358213538,0.4096296820721723,0.220105771028339,0.6109241864739468,0.0,0.5564405096668141,0.37865472574610337,0.7142857142857142,1.0,0.0,0.06896551724137931
624-35-0863,0.5249486494372895,0.0,0.5399163731309307,0.3984698684420117,0.4394362445533224,0.7907304306736054,0.2151219854291636,0.20296354777752196,0.8243702757808611,0.5167511169952481,0.6309908828414368,0.0,0.6569835117612209,0.46453218945540864,0.0,0.0,0.0,0.4396551724137931
550-31-0994,0.7974222685028902,0.0,0.40821514284408716,0.47954623666085505,0.34127523858127673,0.5730511448886412,0.08253176927753071,0.34056218954570877,0.32817427628567786,0.7216684195296185,0.8917572759249972,0.0,0.690112271889055,0.18686059364402063,0.2857142857142857,1.0,0.0,0.75
312-69-5516,0.6528053522829782,1.0,0.8682152191742092,0.35196695474707473,0.8904476735894623,0.5497181952378933,0.19309735468510592,0.6169172231542704,0.49897083264173614,0.40807047959382237,0.5464926620947281,1.0,0.5495971813122168,0.3551582780820963,0.0,0.0,0.75,0.3275862068965517
404-64-1392,0.6205531938428912,1.0,0.4426528183195593,0.6883598172681887,0.2596714255238652,0.6582478629889682,0.04695302241600019,0.5683730458969776,0.5231378558606896,0.5610898105988947,0.4786629410152834,1.0,0.3314899493504002,0.37721232480760136,0.42857142857142855,0.0,0.0,0.8793103448275862
344-93-7591,0.18812137995220646,1.0,0.5705519833402288,0.6125383749307525,0.4627893354139829,0.6987223369904342,0.40892839425737243,0.4840226834947056,0.6178986801132853,0.3090081430697419,0.5956127286046888,0.0,0.3493487312567276,0.6247987511745396,0.2857142857142857,1.0,0.0,0.5689655172413793
463-76-5982,0.7885577405370974,1.0,0.817489933449417,0.5559391916025566,0.820996566692557,0.2978002871561245,0.1801756993507016,0.5924171482249051,0.7685927909271313,0.41007143680202573,0.5730519087128421,0.0,0.4555355757115559,0.44894446756386763,0.42857142857142855,0.0,0.0,0.15517241379310345
391-65-3013,0.5638930687706571,0.0,0.8463029041238999,0.28062913412238766,0.4939625412368158,0.33724588601396205,0.17936322801261562,0.5101300846884583,0.6267836394947384,0.6920665778733603,0.593208080363717,0.0,0.5764208172358837,0.618179900914964,0.8571428571428571,0.0,1.0,0.15517241379310345
038-01-9787,0.5819329934755701,0.0,0.8134925043304451,0.3154108067936743,0.6846507702842703,0.25794879251051595,0.11320660202445625,0.5651666173229382,0.2651496442251433,0.416428546649503,0.6853079720613426,0.0,0.4385060036881586,0.1705403731035534,0.7142857142857142,0.0,0.25,0.27586206896551724
442-08-3127,0.23990487034102126,0.0,0.46979261209001055,0.1041786609561616,0.460399102837753,0.4382170068315694,0.2514728062869898,0.4707994780530062,0.5939892743073749,0.17333150370459974,0.5999373673016304,0.0,0.33095070216867073,0.3978653972534124,0.14285714285714285,1.0,0.0,0.8620689655172413
473-31-9249,0.5371125821752041,1.0,0.5357808277506617,0.5578505309019107,0.44330328256249907,0.8948679425122323,0.3323376196528866,0.4144736120705725,0.4429698267972779,0.5328150872757874,0.46623146882998,0.0,0.0,0.57889989624505,0.7142857142857142,1.0,0.5,0.3017241379310345
254-89-4453,0.546440552545405,1.0,0.9304395346296871,0.7498714266531188,0.5875481611827645,0.3538058283404113,0.31543440231163283,0.5569326110873529,0.5625710786095384,0.5512127904436005,0.4227408888996589,0.0,0.4869527214772661,0.40065228157323385,1.0,1.0,0.75,0.19827586206896552
054-09-2753,0.3623566523056737,1.0,0.17777099746243602,0.4304105594326898,0.60246000662382,0.5097303923053467,0.251806003562076,0.4305295130322269,0.25002622346368963,0.8980074949965444,0.5979018046046216,0.0,0.8637498644059313,0.3581315823665543,0.7142857142857142,0.0,0.75,0.7068965517241379
143-40-6666,0.5856500685627755,1.0,0.30131728255275986,0.5320854379403909,0.3284837227283067,0.735362004519377,0.1744111602665966,0.5279322053722527,0.5348329287145626,0.34287555905543765,0.4024225432976488,0.0,0.2784601520322423,0.5579398899180692,0.14285714285714285,1.0,0.25,0.22413793103448276
184-70-5229,0.8824362957410978,1.0,0.3748133909027492,0.28689851186544424,0.4040942751101122,0.7598389340893901,0.12882001303703017,0.439155527776864,0.5811936447110175,0.5486554008499274,0.43283668337493286,0.0,0.305979489832531,0.2575401226605706,0.14285714285714285,0.0,0.0,0.3706896551724138
555-41-4035,0.39777089924991005,0.0,0.8194203634943559,0.1923216703988274,0.6617738401537858,0.325434520528028,0.10029658112448749,0.6190929160681455,0.6360412917145457,0.6363600141971538,0.33979357306495706,0.0,0.4241789257612042,0.12210131077714526,0.2857142857142857,0.0,1.0,0.02586206896551724
003-34-8876,0.2494750513505628,1.0,0.3589989242610238,0.44403539273585046,0.5984916076671307,0.42727498530899577,0.20242720156625343,0.47424714263261586,0.6732861871367932,0.23566404340193853,0.8162140397904041,0.0,0.7081681867109468,0.45838786274218113,0.7142857142857142,1.0,0.0,0.4396551724137931
410-52-6454,0.4470140386812298,1.0,0.6963811579712733,0.46505251392153046,0.5394912859050531,0.1628520540144305,0.27985856405871123,0.5729528749118209,0.5190031910936355,0.4268832492336304,0.2561789207416756,0.0,0.39804681958896215,0.4315245575350384,1.0,1.0,0.25,0.5172413793103449
280-99-3868,0.7272612842503963,1.0,0.556577588382803,0.6333718781548718,0.561681083100655,0.30947837342816353,0.2809925982374478,0.5005820732407132,0.5689819163467955,0.6537283121393369,0.5798632146605252,0.0,0.6482971471007902,0.5592448296705261,0.5714285714285714,1.0,1.0,0.16379310344827586
650-12-7047,0.6074700049777146,0.0,0.8308008752383125,0.8174088583502273,0.6144512424377073,0.3550770293274852,0.11310738615301931,0.5134150977188576,0.4723805956313485,0.4713656993806302,0.43119816724794524,0.0,0.5595497859699774,0.4008933094062993,1.0,0.0,0.0,0.6810344827586207
103-41-5796,0.41562010691597195,0.0,0.9288764175096761,0.4998180129899853,0.4453481807477846,0.2518553072388788,0.20729362694767706,0.696687756541699,0.620956702989617,0.3286212424677229,0.6816394854425576,1.0,0.49376475889288485,0.2621554290577882,0.0,0.0,0.0,0.8448275862068966
541-77-2012,0.09530321148421728,1.0,0.8635582565416203,0.47438672144489247,0.8125117124932084,0.44756068747841793,0.24017835587989772,0.6061767382698993,0.35338431853446006,0.5386653304639399,0.5249608079618089,0.0,0.5306307001660505,0.18415467961186982,0.2857142857142857,0.0,0.0,0.1810344827586207
361-74-8176,0.245883849508999,1.0,0.1495237980300846,0.720669511046163,0.5733375920646164,0.33847165090539,0.22043504382142048,0.430725974173127,0.4775023991805494,0.040611701623253615,0.6881488123088162,0.0,0.7784288610932637,0.2863693111311548,1.0,1.0,1.0,0.9655172413793103
826-37-5192,0.2532226411639843,0.0,0.8643447662446745,0.5923753287046928,0.4352981249403326,0.6323139492852398,0.18752090562437645,0.3362966983563056,0.5068641544075425,0.5104598822821973,0.4206344916033038,0.0,0.5176418313960766,0.3465980239483747,1.0,1.0,0.0,0.33620689655172414
017-41-7001,0.824826399815386,0.0,0.8885649328485751,0.5183037614635506,0.1826630349589194,0.5178745600271406,0.44319406592135185,0.5277549334590684,0.7240687829021597,0.4093048946128005,0.2604234044972513,1.0,0.49804118721994617,0.7833912992718322,0.8571428571428571,0.0,0.0,0.06896551724137931
415-36-4561,0.5421570478528122,0.0,0.37921671060290374,0.6768970820645889,0.5096546302505855,0.5201524229555272,0.2503798158075121,0.31359218687749235,0.4316588122558642,0.36766309713750756,0.47423577855612975,0.0,0.6866003855043682,0.6062979819568068,0.2857142857142857,0.0,0.0,0.5258620689655172
732-47-1526,0.5622338305326535,0.0,0.8646322419879418,0.38755105557902303,0.38371483158171404,0.5333016290354826,0.12748528486427946,0.4436330142438896,0.6508542929645111,0.4627981068973869,0.49248128009305425,0.0,0.45566073946747,0.27701065230040334,0.0,1.0,0.0,0.24137931034482757
697-33-2759,0.28228982505526035,0.0,0.9508247314959023,0.4376544307245176,0.4228024416202194,0.38743358757353075,0.3894184172450758,0.5005500911945202,0.49933784274303816,0.23084543669396923,0.7091289021941949,0.0,0.49427271513563587,0.6335397761830606,0.42857142857142855,0.0,0.25,0.5172413793103449
763-59-6394,0.5047536221933604,1.0,0.5915355464736464,0.3149170362131044,0.6345266031235673,0.29646547563514614,0.2962285364883334,0.4966464540134727,0.6874641425211512,0.5292618675249984,0.3103785736521387,0.0,0.6412264379229492,0.017210893704842523,0.0,0.0,0.0,0.017241379310344827
658-54-7493,0.5100479271918632,1.0,0.42135465130492017,0.39165452966891134,0.5666772349204966,0.5794970123242885,0.2988159054353169,0.6412948525353538,0.5585993189713203,0.2886750390775016,0.34039566715940206,0.0,0.3128061296863396,0.618017960339623,0.8571428571428571,1.0,0.0,0.1810344827586207
121-28-4051,0.5916557481161926,0.0,0.25963216514207565,0.4751577537882926,0.7136458943512487,0.3608464037835142,0.251351614261619,0.46834142935988393,0.30857664721828826,0.5367269546334418,0.3817873060669833,1.0,0.7139945595487429,0.351433644849254,0.5714285714285714,0.0,0.25,0.3103448275862069
552-45-4817,0.31576066537360514,0.0,0.6369880711491633,0.3156186172031681,0.35601618475036334,0.6218131627359396,0.18880812652318174,0.3051964428654451,0.6781442169744776,0.020637882739179464,0.6467739500168697,0.0,0.38744753552564604,0.6237517865246609,0.7142857142857142,1.0,1.0,0.3189655172413793
391-65-3013,0.5825871529188289,1.0,0.14575484353304902,0.44041155431313284,0.39131218818249214,0.7027691785759722,0.7949744414097961,0.561249273550665,0.4898320443386086,0.48533638101455245,0.28293948674740566,0.0,0.23303300985455974,0.9696210778840013,0.8571428571428571,0.0,1.0,0.15517241379310345
019-88-3163,0.38739779950680586,1.0,0.4937309761353874,0.4579725532600818,0.47840835025629,0.6967059840347657,0.2318542412199609,0.45818393148897446,0.4351776103948628,0.42802942344754213,0.26096957653958064,0.0,0.35635894461921014,0.48252830664766044,0.42857142857142855,1.0,0.75,0.9913793103448276
054-23-9331,0.32819541630668825,1.0,0.8186679960485752,0.46148548697766734,0.7951695615431852,0.4648768883746197,0.28263208395666434,0.6218890606781655,0.8082407737804196,0.5244369920542369,0.12365856977487644,0.0,0.47947523009270454,0.6098889200634956,0.42857142857142855,1.0,0.25,0.14655172413793102
281-03-5773,0.5131775937994079,1.0,0.10634395116275017,0.4325271268015898,0.7208943807140762,0.6733982766593768,0.12619483217813093,0.49826109045984696,0.2971531618393788,0.33067617478606914,0.5421531108505557,0.0,0.8618984838497034,0.10365514942784138,0.8571428571428571,0.0,0.0,0.6293103448275862
057-79-0525,0.4315125577634231,0.0,0.9200189257443038,0.4327486643865963,0.5167534324234814,0.4150849856926784,0.280802245962932,0.48608232726953743,0.5775569297781813,0.3354094094448261,0.4691990657289158,1.0,0.5491747536360072,0.45316245464251614,0.8571428571428571,0.0,0.25,0.8362068965517241
193-03-7997,0.2582041702187716,0.0,0.910898713950908,0.3271945676265904,0.4636744757812159,0.276911799451132,0.3384541003786685,0.6162483415024617,0.545014736047519,0.6734354961043092,0.508152503164256,1.0,0.4830496983553483,0.6698012838498169,0.2857142857142857,0.0,0.25,0.09482758620689655
441-35-8321,0.4772884614284325,1.0,0.7061633788498102,0.7136399739700132,0.2612849503743873,0.6594039592004055,0.07772351606828508,0.5545028893494304,0.760236326091553,0.45548421384747384,0.43284600371695214,0.0,0.40905914404679455,0.24305773934722874,1.0,1.0,0.25,0.9827586206896551
510-50-7414,0.16506178278473582,1.0,0.7081856113387778,0.49679980124137146,0.33418350810239345,0.6419342852700217,0.32967624277574337,0.5581945312528555,0.504055461619386,0.35751933581289463,0.42803670723500864,0.0,0.4166388524986858,0.6630525045239792,0.14285714285714285,1.0,0.0,0.02586206896551724
047-04-5223,0.7405027682578189,1.0,0.8401753488570235,0.6624486182306676,0.7217877713909906,0.29856967170906357,0.1375009170196586,0.5664550368981436,0.8838995509927388,0.7071051804365087,0.7512810810105486,0.0,0.4811795432357334,0.3584253350381029,0.5714285714285714,0.0,0.75,0.25
426-76-1068,0.27373044435162897,1.0,0.43195453282819296,0.5447081874311261,0.5231214928817507,0.5232925620101737,0.44674709292649006,0.7097738960711427,0.5890658929935879,0.4973516867832858,0.074573920564589,0.0,0.3251879542401308,0.8072511717153836,0.7142857142857142,1.0,0.0,0.6293103448275862
565-94-1417,0.4484730240284398,0.0,0.1510717522745087,0.4628900080840831,0.43837431183577646,0.7283517198067048,0.37429300612132843,0.33783275034631993,0.8680551329677597,0.758632976210417,0.49825243587138646,0.0,0.7767297631067314,0.5805946231962924,0.7142857142857142,0.0,0.0,0.1810344827586207
163-99-5410,0.4378825068610457,1.0,0.7304087137642086,0.4320310457063298,0.6442985056331937,0.32123016714425057,0.2371285181640992,0.5085675332887412,0.7020394159377572,0.5595872200326708,0.4561244899442829,1.0,0.6108888295519972,0.40381200582232846,1.0,1.0,0.75,0.3620689655172414
108-16-0721,0.5703545620469279,0.0,0.7923292559638839,0.3595860808071253,0.7458409599588899,0.522691795856632,0.2774689804971329,0.586859582369303,0.2122258404945685,0.5432642648486404,0.7504180173395643,1.0,0.5119531386897859,0.30398317324440405,0.8571428571428571,0.0,0.0,0.6293103448275862
087-17-7999,0.5322016184247917,1.0,0.15435136880022768,0.6063187412098506,0.549608522805624,0.3267572157568341,0.2888817143209869,0.6589507695794087,0.6328696140971659,0.18050684647178356,0.7242651376334905,0.0,0.2355321128476424,0.18050348454691467,0.2857142857142857,1.0,0.25,0.33620689655172414
033-28-7024,0.3692453517489708,1.0,0.2766480060148136,0.5606864838152523,0.3729352126753044,0.7005529067994613,0.33036913798213013,0.5400899517893498,0.8755570562190809,0.5721782957263347,0.3699299669500671,0.0,0.26289395292173934,0.5918099495536275,0.14285714285714285,0.0,0.0,0.5172413793103449
856-37-8355,0.5666794447082697,0.0,0.18248623917466097,0.6131740382958296,0.4592346305570256,0.7831436123917359,0.15956077424575738,0.2551445405733376,0.2642482200602039,0.4513323803751387,0.30254389415073957,0.0,0.7587291289437014,0.5702737360632244,0.14285714285714285,1.0,0.75,0.6896551724137931
604-29-8230,0.3828053332112744,1.0,0.19499984063508313,0.34395177928658915,0.37885068471677275,0.7060112964230686,0.21127195716718328,0.6266342825604644,0.4203989423479224,0.6156933376492171,0.6101263651970972,0.0,0.1428066303413633,0.5171289819021989,0.8571428571428571,1.0,0.0,0.15517241379310345
265-32-2696,0.6925545975202971,1.0,0.21757457736578767,0.5775301359071923,0.7242003976649267,0.5991718514300254,0.26509931444095086,0.4204652199816515,0.7436320787665238,0.24019179014137174,0.6406187961473433,1.0,0.9133637342189366,0.03854562299104247,1.0,1.0,0.0,0.12931034482758622
608-39-9442,0.4096411277479943,1.0,0.43902909735195333,0.6185364710666477,0.5468045961296619,0.3312614473718753,0.22440238596395973,0.4453170974191402,0.32884389213502097,0.19122584647024293,0.06942349956474003,0.0,0.6815427267341438,0.32250465579154086,0.5714285714285714,0.0,0.0,0.8362068965517241
272-92-5074,0.7023936895546186,1.0,0.7564422365097082,0.6394981398997617,0.7237878821808634,0.47797056144878547,0.08203827535022072,0.5753579247855375,0.48607575514696144,0.28343074087585557,0.6237676177765019,0.0,0.5997523843695501,0.5747402830947219,0.0,0.0,0.75,0.16379310344827586
